name,address,district,phone,lat,lon,services
인천중앙건강검진의원,인천광역시 미추홀구 주안로 123,미추홀구,032-111-0001,37.451,126.7035,기본검진;위암;대장암;치매;유방암
남동구 건강검진센터,인천광역시 남동구 구월로 45,남동구,032-111-0002,37.4425,126.729,기본검진;위암;대장암;치매
연수구 노인검진클리닉,인천광역시 연수구 센트럴로 7,연수구,032-111-0003,37.3947,126.7054,기본검진;유방암;자궁경부암
부평구 종합검진센터,인천광역시 부평구 부평대로 300,부평구,032-111-0004,37.49,126.7213,기본검진;대장암;전립선
계양구 보건소(검진실),인천광역시 계양구 계산로 90,계양구,032-111-0005,37.532,126.7368,기본검진;치매
서구 건강관리센터,인천광역시 서구 봉수대로 210,서구,032-111-0006,37.5568,126.6669,기본검진;위암;대장암
남구 노인복지검진센터,인천광역시 남구 경명대로 88,남구,032-111-0007,37.4569,126.7001,기본검진;치매;전립선
동구 지역검진의원,인천광역시 동구 만석로 14,동구,032-111-0008,37.4789,126.6402,기본검진;위암
중구 검진클리닉,인천광역시 중구 신포로 55,중구,032-111-0009,37.4741,126.6226,기본검진;유방암
옹진군 보건지소,인천광역시 옹진군 영흥면 영흥로 10,옹진군,032-111-0010,37.186,126.45,기본검진
인천광역시 건강관리협회,인천광역시 연수구 송도동 10,연수구,032-456-7890,37.396,126.642,기본검진;위암;대장암;치매;유방암;자궁경부암;전립선
계양구 종합병원 검진센터,인천광역시 계양구 서운로 5,계양구,032-111-0011,37.548,126.733,기본검진;대장암;유방암;전립선
