conts_id,conts_ttl,addr,daddr,map_lat,map_lot,telno,conts_sumry,hmpg_addr,crcd_psblty_info,rprs_menu_guid,chdcnr_yn,bsn_hr_guid,packng_psblty_info,parkng_fclt_cn,rsvt_guid,hldy_guid,trtmnt_menu_cn,pet_acmpny_psblty_info,reg_dt
APD21112609202911684,편가네된장,인천광역시 강화군 화도면 가능포로89번길 11,,37.640677365100,126.419383912500,0329376479,강화 맛집. 편가네 된장. 4대째 내려오는 전통방식 그대로국내산 재료를 엄선해 화학첨가물 없이 손수 만드는 전통 보리 된장과 짜지 않고 깊은 맛을 내는 간장게장은 맛이 일품이다.,,없음,강된장비빔밥,0,"평일 10:00-20:00 / 주말,공휴일 09:00-20:00",,가능,가능,매주 수요일(공휴일 제외) / 명절 당일 휴무,강된장비빔밥 / 간장게장,,2025-10-03 08:30:08.637409000
APD21112609202880083,카페힐로 서창,인천광역시 남동구 서창남로 69,,37.425347107900,126.748690370600,0324692583,"홈메이드 브런치 카페힐로는 주문과 동시에 신선하고 건강한 재료로 조리되어 제공되며, 직접 로스팅한 10일 이내의 원두 만을 사용한다.",,없음,커피,0,09:00-20:00,가능,가능,가능,,커피 / 샌드위치,,2025-10-03 08:30:08.637409000
APD21112609223051342,장흥숯불장어,인천광역시 강화군 길상면 장흥로 11-8,,37.611824134300,126.518422870900,0329379589,장흥숯불장어는 30년의 전통과 따라올 수 없는 맛으로 많은 고객층을 확보하고 있는 집이다. <br>,,가능,장어구이,0,11:00 ~ 22:00,일부 메뉴 포장 가능,주차 가능,전화 예약 문의 (032-937-9589),첫째주 월요일,갯벌장어 / 민물양식장어,,2025-10-03 08:30:08.637409000
APD21123110000816897,바다앞농장,인천광역시 중구 은하수로 10,(중산동),37.492128058700,126.581270451300,,바다 앞에 자리한 작은 농장 카페이다. 직접 고른 원두로 로스팅한 특별한 커피와 매일 직접 구운 디저트를 <br>아름다운 바다 풍경과 함께 즐길 수 있다. <br>,http://instagram.com/farm.in.seaside,없음,"딸기파이, 브레드 푸딩",0,매일 10:00 - 21:00<br />,,,,,,,2025-10-03 08:30:08.637409000
APD21112609203295856,달다1078,인천광역시 부평구 경인로 1078,,37.486281533800,126.739533951200,07043491010,"커피나 차(茶), 음료 및 디저트류와 함께 간단한 식사가 가능한 달다(daldha) 음식점이다.",,없음,아이스아메리카노 / 초코케이크,1,10:00 ~ 22:00,가능(일부),가능,가능,매주 일요일,아이스아메리카노 / 초코케이크 / 유부우동 외,,2025-10-03 08:30:08.637409000
APD21112609163228786,동막돌솥촌,인천광역시 강화군 화도면 해안남로 1632,,37.596369038500,126.442196941300,0329378876,"동막해수욕장으로 가는 해안도로 옆에 위치한 동막돌솥촌 식당은 주황색 벽돌로 지어진 2층 주택의 외관을 가지고 있고, 식당 내부는 묵직한 원목 나무 탁자가 놓여 있다. 대추, 밤, 인삼, 은행 등이 골고루 담겨진 돌솥한정식은 열 서너 가지 밑반찬과 함께 제공된다.<br>",,가능,돌솥한정식,0,10:00 ~ 22:00 (전화문의),포장 불가,주차 가능,전화 예약 가능 (032-937-8876),연중무휴,돌솥한정식 / 불고기정식 / 특선정식(불고기+돌솥밥) / 실비식단 (단체메뉴),,2025-10-03 08:30:08.637409000
APD21121110001214335,아이케이라이트하우스(일광전구라이트하우스),인천광역시 중구 참외전로174번길 8-1,(경동),37.472175770600,126.635077205100,,"일광전구에서 운영하는 카페로 인천 개항로에 자리한다. 카페 건물은 원래 산부인과 건물이었다. 라이트하우스 간판 뒤로 원래 이름인 한산부인과 간판이 그대로 남아 있다. 폐업 후 10년 동안 방치되었던 건물과 사택, 감나무가 멋스러운 정원은 고스란히 감각적인 카페로 변신했다. 수술실 조명이나 입원실 문, 세월의 흔적이 고스란히 느껴지는 계단 등 곳곳에 옛 병원의 흔적들이 남아 있어 이를 찾아보는 재미도 쏠쏠하다. 1층에는 일광전구에서 사용했던 백열전구 만드는 기계를 전시해 두었다. 실제로 작동되는 기계라 더욱 특별한 볼거리를 제공한다. 기계 외에도 일광전구에서 생산되는 다양한 디자인의 조명을 감각적으로 설치해 오래된 건물임에도 빈티지한 매력과 화사한 분위기를 함께 즐길 수 있다.",,없음,하우스 바닐라 라테,0,11:00~21:00 (라스트오더 20:30),,가능 (율목동 공영주차장 이용)<br>요금 (무료),,매월 넷째 주 월요일,룽버터 커피 / 하우스 샹그리아 / 아메리카노 등,,2025-10-03 08:30:08.637409000
APD22112117335247965,송도우리갈비,인천광역시 연수구 능허대로 208,,37.417343515700,126.649971812100,,"송도우리갈비는 인천 연수구 옥련동에 있다. 지역 주민들에게 가성비 소고기 음식점으로 유명한 이곳은 식당 바로 앞 대형 주차장이 마련되어 있어서 가족 모임, 회식 장소로도 적합하다. 음식점의 내부는 4인석 입식 테이블로 마련되어 있다. 이곳의 대표 메뉴는 소갈비살 1kg, 돼지갈비 1kg다. 밑반찬은 샐러드, 배추김치 등 6가지의 밑반찬이 제공된다. 그 외 메뉴는 生모듬, 양념모듬, 소부채살, 양념소갈비살, 양념소부채살, 수제돼지갈비, 돼지갈비, 소불고기전골, 소고기 대왕갈비탕, 소갈비살 정식 등 다양한 메뉴가 준비되어 있다. 내부에는 셀프 바가 마련되어 있어 추가 반찬을 셀프 바에서 자유롭게 이용할 수 있다. 식당 인근에는 골프장, 인천시립박물관, 인천상륙작전기념관 등 다양한 관광지가 있어 연계 관광을 즐길 수 있다.<br>※반려동물 동반 불가",,가능,소갈비살 1kg,1,매일 10:00~23:00,가능,있음/주차요금 없음,전화예약,연중무휴,"돼지갈비 1kg, 生모듬, 양념모듬, 소부채살, 양념소갈비살, 양념소부채살, 수제돼지갈비, 돼지갈비, 소불고기전골, 소고기 대왕갈비탕, 소갈비살 정식, 돼지갈비 정식, 물냉면, 비빔냉면",,2025-10-03 08:30:08.637409000
APD21120110001410162,카츠오모이 청라점,인천광역시 서구 청라커낼로 270,(청라동),37.532571701000,126.644991287000,,"카츠오모이 청라점은 국내산 쌀과 돼지고기를 사용하는 일본식 돈가스 전문점이다. 대표 메뉴인 등심+안심 돈가스는 씹을 때 육즙이 나오는 게 특징이며 소금, 후추, 유자 드레싱, 흑임자 드레싱 등 다양한 소스를 제공해 주어 돈가스의 느끼함을 줄여준다. 식당 좌석이 바 형식으로 되어 있으며 맞은편으로 오픈된 주방을 통해 음식이 조리되어 나오는 과정을 직접 볼 수 있다. 재료 소진 시 조기 마감되며 월요일은 휴무이다. 청라 2동 주민센터 맞은편 건물의 뒤편에 있다.",,가능,등심+안심 돈가스,0,11:00~20:00 (라스트오더 19:30),가능,가능 (커낼힐스빌 지하주차장)<br>요금 (2시간 무료),전화,매주 월요일,등심 / 안심 / 프리미엄등심 돈가스,,2025-10-03 08:30:08.637409000
APD21121010002040643,꽃피는산골,인천광역시 남동구 수골로 34,(논현동),37.410826002500,126.716515928200,,"인천시 남동구 논현동 한적한 곳에 위치한 꽃피는 산골은 비닐하우스를 개조한 식당으로 가성비 좋은 푸짐한 한정식 상차림을 제공한다. 벽에 걸린 민속 소품들과 차곡차곡 쌓인 장작들이 산골에 온 것 같은 느낌을 준다. 산골 정식은 오전 11시 30분부터 오후 3시까지 이용 가능한 점심 메뉴임에도 불구하고 대표 메뉴이다. 산골 정식은 돼지 직화 불고기, 낙지볶음, 도토리묵무침, 도토리전과 10여 가지의 제철 반찬이 곁들여지는 상차림이다. 그 외 도깨비살, 갈매기살, 꽃등심도 있다. 식사를 마치고 난 뒤 식당 주변에 조성된 울창한 숲길을 따라 산책을 하는 것도 추천할 만하다.",,가능,산골정식,0,11:30~22:00,가능,가능<br>요금 (무료),전화,매주 월요일,생오겹살 / 도깨비살 / 수제돼지갈비 등,,2025-10-03 08:30:08.637409000
