검진기관명,구분,주소,전화번호,일반검진,영유아검진,구강검진,위암,대장암,간암,유방암,자궁경부암,폐암,비고
강화군보건소,공립,인천광역시 강화군 강화읍 충렬사로 26-1,032-930-4048,내원,내원,내원+출장,미실시,미실시,미실시,미실시,미실시,미실시,코로나19로 일시 중지
비에스종합병원,종합병원,인천광역시 강화군 강화읍 충렬사로 31-0,032-290-0011,내원,내원,내원,내원,내원,내원,내원,내원,미실시,
강화병원,병원,인천광역시 강화군 강화읍 강화대로312번길  11,032-930-8146,내원,내원,미실시,내원,내원,내원,미실시,내원,미실시,
남궁내과의원,의원,인천광역시 강화군 강화읍 강화대로 422,032-934-2142,내원,미실시,미실시,내원,미실시,내원,미실시,미실시,미실시,
인성의원,의원,인천광역시 강화군 강화읍 중앙로 23  (인성의원),032-932-4455,내원,미실시,미실시,내원,내원,내원,내원,미실시,미실시,
임성식내과의원,의원,인천광역시 강화군 강화읍 강화대로 395 (준프라자빌딩),032-932-3375,내원,미실시,미실시,내원,내원,내원,미실시,미실시,미실시,
에바다의원,의원,인천광역시 강화군 강화읍 중앙로 25,032-933-0059,미실시,미실시,미실시,미실시,미실시,미실시,미실시,내원,미실시,
유여성의원,의원,인천광역시 강화군 강화읍 강화대로 410,032-933-6080,미실시,미실시,미실시,미실시,미실시,미실시,미실시,내원,미실시,
드림 소아청소년과의원,의원,인천광역시 강화군 강화읍 동문안길 9-1,032-934-1175,미실시,내원,미실시,미실시,미실시,미실시,미실시,미실시,미실시,
정 의원,의원,인천광역시 강화군 강화읍 강화대로 395 (준프라자빌딩),032-933-8765,미실시,내원,미실시,미실시,미실시,미실시,미실시,미실시,미실시,
서울치과의원,의원,인천광역시 강화군 강화읍 중앙로 43 2층  204호,032-933-2886,미실시,미실시,내원,미실시,미실시,미실시,미실시,미실시,미실시,
고려치과의원,의원,인천광역시 강화군 강화읍 동문안길 9-1,032-932-2875,미실시,미실시,내원,미실시,미실시,미실시,미실시,미실시,미실시,
오치과의원,의원,인천광역시 강화군 강화읍 강화대로404번길 4,032-933-2828,미실시,미실시,내원,미실시,미실시,미실시,미실시,미실시,미실시,
이편한치과의원,의원,인천광역시 강화군 강화읍 강화대로 395  3층,032-932-2275,미실시,미실시,내원,미실시,미실시,미실시,미실시,미실시,미실시,
온수플러스치과의원,의원,인천광역시 강화군 길상면 길상로 317,032-937-7504,미실시,미실시,내원,미실시,미실시,미실시,미실시,미실시,미실시,
강화치과의원,의원,인천광역시 강화군 강화읍 강화대로404번길  5 6층,032-934-2804,미실시,미실시,내원,미실시,미실시,미실시,미실시,미실시,미실시,
건플란트치과의원,의원,인천광역시 강화군 길상면 온수길 23,032-937-2872,미실시,미실시,내원,미실시,미실시,미실시,미실시,미실시,미실시,
가온자리한방병원,요양병원,인천광역시 강화군 불은면 해안동로 464-19,032-272-7500,내원+출장,미실시,미실시,미실시,미실시,미실시,미실시,미실시,미실시,
