연번,검진기관명,도로명주소,연락처,일반검진,위암,유방암,대장암,간암,자궁경부암,폐암,구강검진,영유아검진,데이터기준일
1,김윤태치과의원,인천광역시 동구 화도진로 35 (송현동),032-761-4848,,,,,,,,지정,,2025-07-17
2,남치과의원,"인천광역시 동구 봉수대로 98 A/302-1호 (송림동, 송림동공구상가)",032-575-7747,,,,,,,,지정,,2025-07-17
3,동인천치과의원,인천광역시 동구 송화로 3 (화평동),032-761-5942,,,,,,,,지정,,2025-07-17
4,미드림치과의원,인천광역시 동구 송현로 4 2층 (송현동),032-762-2879,,,,,,,,지정,,2025-07-17
5,백치과의원,인천광역시 동구 샛골로210번길 9 황금플라자 4층 401~2호 (송림동),032-777-9171,,,,,,,,지정,,2025-07-17
6,비에스치과의원,"인천광역시 동구 샛골로 212 2,3층 (송림동)",,,,,,,,,지정,,2025-07-17
7,뿌리앤치과의원,인천광역시 동구 송림로110번길 5-9 3층 (송림동),032-710-2872,,,,,,,,지정,,2025-07-17
8,서울수치과의원,"인천광역시 동구 송림로 96 401호 (송림동, 송림메디칼빌딩)",032-773-2872,,,,,,,,지정,,2025-07-17
9,세림치과의원,인천광역시 동구 송림로 102-1 3층 (송림동),032-766-9697,,,,,,,,지정,,2025-07-17
10,세정굿모닝치과의원,인천광역시 동구 수문통로 54-1 (송현동),032-773-2275,,,,,,,,지정,,2025-07-17
11,솔빛치과의원,"인천광역시 동구 송현로 38 201호 (송현동, 송현프라자)",032-777-7528,,,,,,,,지정,,2025-07-17
12,송림푸른하늘치과의원,인천광역시 동구 송미로 7 2층 (송림동),032-773-7528,,,,,,,,지정,,2025-07-17
13,양치과의원,인천광역시 동구 송림로 108 2층 (송림동),032-766-7528,,,,,,,,지정,,2025-07-17
14,젠치과의원,인천광역시 동구 송현로 9 (송현동),032-773-1269,,,,,,,,지정,,2025-07-17
15,중앙치과의원,인천광역시 동구 샛골로 169 (송림동),032-773-9148,,,,,,,,지정,,2025-07-17
16,최재혁치과의원,"인천광역시 동구 샛골로 120 (송림동, 천광빌딩)",032-772-2804,,,,,,,,지정,,2025-07-17
17,친절한홍치과의원,인천광역시 동구 송현로 1 송현프라자 2층 (송현동),032-777-7522,,,,,,,,지정,,2025-07-17
18,한울치과의원,"인천광역시 동구 화수로 38 301호 (송현동, 동부프라자)",032-762-1422,,,,,,,,지정,,2025-07-17
19,현대치과의원,인천광역시 동구 송림로 100 3층 (송림동),032-773-8333,,,,,,,,지정,,2025-07-17
20,화수치과의원,"인천광역시 동구 운교로 15 (화수동, 중구농협)",032-777-2275,,,,,,,,지정,,2025-07-17
21,연세스마일치과의원,"인천광역시 동구 화도진로 16 211~212호 (송림동, 동인천역 파크푸르지오)",032-762-2875,,,,,,,,지정,,2025-07-17
22,이흥우치과의원,인천광역시 동구 동산로 84-1 이흥우치과의원 (송림동),032-766-0005,,,,,,,,지정,,2025-07-17
23,인천광역시의료원,인천광역시 동구 방축로 217,032-580-6020,O,지정,지정,지정,지정,지정,지정,지정,지정,2025-07-17
24,봄소아청소년과의원,인천광역시 동구 송미로 7 (송림동),032-766-7533,,,,,,,,,지정,2025-07-17
25,연세성모의원,인천광역시 동구 화도진로 183 2층 (만석동),032-772-0266,O,지정,,,지정,,,,지정,2025-07-17
26,연세제일의원,"인천광역시 동구 송림로 10 (금곡동, 연세제일의원)",032-765-6557,O,지정,지정,지정,지정,지정,,,지정,2025-07-17
27,의료법인 성수의료재단 인천백병원,인천광역시 동구 샛골로 214 (송림동),032-777-7050,O,지정,지정,지정,지정,지정,지정,,지정,2025-07-17
28,굿모닝내과의원,"인천광역시 동구 송림로 76 1층, 3층 (송림동)",032-762-0971,O,지정,지정,지정,지정,지정,,,,2025-07-17
29,권의원,인천광역시 동구 샛골로 142 (송림동),032-763-1110,O,지정,,지정,지정,,,,,2025-07-17
30,동인천내과의원,"인천광역시 동구 송현로 1 104호 (송현동, 송현프라자)",032-765-5676,O,지정,지정,지정,지정,지정,,,,2025-07-17
31,박영훈내과의원,인천광역시 동구 송림로 113 3층 (송림동),032-762-0071,O,,,,,,,,,2025-07-17
32,우리내과의원,"인천광역시 동구 송림로 91 3,4층 (송림동, 동우빌딩)",032-777-3601,O,지정,,지정,지정,,,,,2025-07-17
33,예나산부인과의원,"인천광역시 동구 송림로 96 601호 (송림동, 송림메디칼빌딩)",032-765-0050,,,,,,지정,,,,2025-07-17
34,황호연산부인과의원,인천광역시 동구 샛골로 188 (송림동),032-761-3222,,,,,,지정,,,,2025-07-17
35,현대의원,"인천광역시 동구 송림로 80 2층 (송림동, 송림센트럴타워)",032-764-9090,O,,,,,,,,,2025-07-17
