연번,시설종류,시설명,우편번호,동명,도로명주소,위도,경도,정원,운영주체,전화번호,기타
1,재가노인복지시설,(주)푸른숲실버케어 재가노인복지센터,21356,부평동,"인천광역시 부평구 장제로 191, 2층 (부평동)",37.50268491,126.7306173,,법인,032-522-3689,유료
2,재가노인복지시설,(주)행복한효마을,21379,부평동,"인천광역시 부평구 부평대로 83, 203호, 1101호 (부평동)",37.49894906,126.721735,37,법인,032-508-1737,유료
3,노인의료복지시설,100세 효 요양원,21344,삼산2동,"인천광역시 부평구 충선로209번길 41, 5, 6층 (삼산동)",37.5079552,126.73391,29,개인,032-724-9191,유료
4,재가노인복지시설,가나재가복지센터,21311,청천동,"인천광역시 부평구 마장로 462, 301호 (청천동)",37.51938119,126.7048824,,개인,032-212-4205,유료
5,재가노인복지시설,가온재가복지센터,21355,부평동,"인천광역시 부평구 신트리로 68-12, 102호 (부평동)",37.50561727,126.7284753,,개인,032-282-2732,유료
6,노인의료복지시설,가족사랑 삼산요양원,21344,삼산2동,"인천광역시 부평구 체육관로 38, 901, 1002호 (삼산동, 세원빌딩)",37.50825479,126.7358051,38,개인,032-275-7500,유료
7,노인의료복지시설,가족요양원,21376,산곡2동,"인천광역시 부평구 마장로 256, 301호 (산곡동, 산곡프라자)",37.5006656,126.7031245,29,개인,032-361-8495,유료
8,재가노인복지시설,가족재가노인복지센터,21332,갈산동,"인천광역시 부평구 주부토로 193, 상가동 205-1호 (갈산동, 대동아파트)",37.51269404,126.724634,,개인,032-506-8777,유료
9,노인의료복지시설,간호박사요양원,21344,삼산2동,"인천광역시 부평구 체육관로 40, 10 (삼산동, 신영프라자)",37.5082404,126.7361447,28,개인,032-511-6078,유료
10,재가노인복지시설,갈산효도주야간보호센터,21329,갈산동,"인천광역시 부평구 주부토로 223, 3층 (갈산동)",37.51513053,126.7258143,32,개인,032-513-0333,유료
11,재가노인복지시설,갈산효드림 노인주야간보호센터,21316,갈산동,"인천광역시 부평구 주부토로 261, 204호 (갈산동, 신협빌딩)",37.51837584,126.7267998,26,개인,032-512-5431,유료
12,노인의료복지시설,고은손 요양원,21316,갈산1동,"인천광역시 부평구 주부토로 261, 5,6층 (갈산동)",37.51837584,126.7267998,49,개인,032-517-2211,유료
13,재가노인복지시설,고은손복지용구,21365,부평동,"인천광역시 부평구 원적로 471, 1층 (부평동)",37.50351593,126.7191125,,개인,070-4791-1214,유료
14,재가노인복지시설,국민재가복지센터,21336,갈산동,"인천광역시 부평구 갈월동로29번길 40-7, 2층 (갈산동)",37.50999001,126.7278923,,개인,032-288-2486,유료
15,재가노인복지시설,굿케어 재가복지센터,21420,부개동,인천광역시 부평구 경인로1092번길 34 (부개동),37.48489204,126.740122,,개인,032-522-4507,유료
16,노인의료복지시설,굿힐링요양원,21329,갈산1동,"인천광역시 부평구 주부토로 223, 601호 (갈산동, 금강프라자)",37.51513053,126.7258143,26,개인,032-505-9700,유료
17,노인의료복지시설,그라시아의집노인전문요양원,21405,부평3동,"인천광역시 부평구 경원대로 1286, 6층 (부평동, 부평메디아나센터)",37.49042616,126.7118501,49,개인,032-524-1006,유료
