연번,검진기관명,도로명주소,연락처,일반검진,위암,유방암,대장암,간암,자궁경부암,폐암,구강검진,영유아검진,데이터기준일
1,정내과의원,"인천광역시 서구 검단로 836 215호 (불로동, 월드메가마트)",032-567-8275,지정,지정,,지정,지정,,,,,2024-08-06
2,임내과의원,인천광역시 서구 가정로 202 (석남동),032-571-0668,지정,지정,,지정,지정,,,,,2024-08-06
3,제일가정의원,"인천광역시 서구 원적로96번길 26 2층 (가좌동, 프라자쇼핑)",032-579-2095,,,,,,,,,지정,2024-08-06
4,임진영소아청소년과의원,"인천광역시 서구 장고개로337번길 7 2층 (가좌동, 모건베스트원상가)",032-576-0870,,,,,,,,,지정,2024-08-06
5,유앤박소아과의원,인천광역시 서구 거북로 98 (석남동),032-573-3297,,,,,,,,,지정,2024-08-06
6,이동희소아청소년과의원,"인천광역시 서구 서곶로 293 403호 (심곡동, 우민빌딩)",032-565-7575,,,,,,,,,지정,2024-08-06
7,원당연세메디칼의원,인천광역시 서구 원당대로 841 (원당동),032-566-5060,,,,,,,,,지정,2024-08-06
8,연세산부인과의원,"인천광역시 서구 원적로 100 604호 (가좌동, 로얄프라자)",032-566-0001,,,,,,지정,,,,2024-08-06
9,이해림산부인과의원,"인천광역시 서구 서곶로 355-1 4층 (연희동, 성우빌딩) ",032-564-1800,,,,,,지정,,,,2024-08-06
10,우리소아과의원,"인천광역시 서구 청마로167번길 8 2층 (당하동, 강남빌딩)",032-565-0075,,,,,,,,,지정,2024-08-06
11,세계로치과의원,인천 서구 검암동 596-1 5층,032-562-1700,,,,,,,,지정,,2024-08-06
12,이편한치과의원,인천광역시 서구 신석로 79 2층 (석남동),032-571-7528,,,,,,,,지정,,2024-08-06
13,플러스치과의원,"인천광역시 서구 가정로 363 2층 (신현동, 그린빌딩)",032-584-2875,,,,,,,,지정,,2024-08-06
14,위편한내과의원,"인천광역시 서구 원당대로 866 301호 (당하동, 세브란스빌딩)",032-565-7881,지정,지정,,지정,지정,,,,,2024-08-06
15,검암웰치과의원,인천 서구 검암동  508-1,032-566-2804,,,,,,,,지정,,2024-08-06
16,굿모닝치과의원,인천광역시 서구 거북로 89 (석남동),032-584-4393,,,,,,,,지정,,2024-08-06
17,하나여성산부인과의원,"인천광역시 서구 서곶로 293,3층 (심곡동)",032-563-8422,,,,,,지정,,,,2024-08-06
18,연세열린내과의원,인천광역시 서구 가정로 201-1 (석남동),032-579-6090,지정,지정,지정,지정,지정,지정,,,,2024-08-06
19,연희수치과의원,인천광역시 서구 간촌로 4 (연희동),032-421-2828,,,,,,,,지정,,2024-08-06
20,세이프치과의원,"인천광역시 서구 원적로100번길 24, 2층 (가좌2동)",032-571-2080,,,,,,,,지정,,2024-08-06
21,신석치과의원,"인천광역시 서구 가정로 317 에이동 302호 (석남동, 두성상가)",032-572-6000,,,,,,,,지정,,2024-08-06
22,이안치과의원,인천광역시 서구 완정로 60 (마전동),032-569-2825,,,,,,,,지정,,2024-08-06
23,안용진내과의원,"인천광역시 서구 완정로 187 2,5,6층 (왕길동)",032-562-1430,지정,지정,지정,지정,지정,,,,,2024-08-06
24,미래치과의원,"인천광역시 서구 검단로 836 219호 (불로동,월드메가마트)",032-564-2833,,,,,,,,지정,,2024-08-06
25,강남치과의원,"인천광역시 서구 가정로 308, (석남동)",032-584-7528,,,,,,,,지정,,2024-08-06
26,참고은치과의원,인천광역시 서구 가정로 127 (가좌동),032-578-7522,,,,,,,,지정,,2024-08-06
27,예은치과의원,인천 서구 가정2동 504-7 서인천상가 201호,032-575-5294,,,,,,,,지정,,2024-08-06
28,석남치과의원,인천광역시 서구 가정로 201-1 (석남동),032-575-5995,,,,,,,,지정,,2024-08-06
29,검암연세치과의원,인천광역시 서구 승학로 498 (검암동),032-564-0275,,,,,,,,지정,,2024-08-06
