연번,시설명,시설종류,시설유형,소재지,위도,경도,입소정원,시설운영,설치일자,전화번호,데이터기준일자
1,청라백세마을,노인주거복지시설,양로시설,인천광역시 서구 로봇랜드로249번길 14,37.5291094446,126.6100342875,64,법인,1997-12-09,032-582-0245,2024-08-01
2,예향원,노인주거복지시설,노인공동생활가정,인천광역시 서구 세자봉로76번길 11,37.6098775765,126.6515480665,9,개인,2023-12-11,032-567-5615,2024-08-01
3,마리스텔라,노인주거복지시설,노인복지주택,인천광역시 서구 심곡로100번길 31,37.5422737528,126.6855042203,528,법인,2015-01-20,032-280-1500,2024-08-01
4,더시그넘하우스 청라,노인주거복지시설,노인복지주택,인천광역시 서구 담지로 60,37.5354712029,126.6610292362,188,법인,2024-03-25,032-561-0120,2024-08-01
5,내리요양원,노인의료복지시설,노인요양시설,인천광역시 서구 봉수대로1394번길 12,37.5967829611,126.6523271650,63,법인,1999-03-05,032-566-6651,2024-08-01
6,인천신생요양원,노인의료복지시설,노인요양시설,인천광역시 서구 드림로 284-4,37.5831251771,126.6706200746,78,법인,2002-01-15,032-566-0580,2024-08-01
7,인천천사요양원,노인의료복지시설,노인요양시설,인천광역시 서구 드림로 284-6,37.5828877381,126.6709652925,78,법인,2007-07-09,032-773-1400,2024-08-01
8,낙원요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로10번길 6-7,37.5948716357,126.6737990578,90,개인,2009-03-27,032-562-3497,2024-08-01
9,서천노인요양원,노인의료복지시설,노인요양시설,인천광역시 서구 심곡로132번길 22,37.5455347190,126.6845891054,49,법인,2009-09-07,032-562-2116,2024-08-01
10,인천 부모섬김요양원,노인의료복지시설,노인요양시설,인천광역시 서구 검단로 504,37.6027269400,126.6601514000,69,개인,2011-04-15,032-216-8253,2024-08-01
11,인천원당 사랑마루,노인의료복지시설,노인요양시설,인천광역시 서구 원당대로 853,37.5940091100,126.6964593000,28,개인,2014-03-19,032-567-3275,2024-08-01
12,성모요양원,노인의료복지시설,노인요양시설,인천광역시 서구 심곡로100번길 31,37.5422737528,126.6855042203,48,법인,2015-01-15,032-280-1900,2024-08-01
13,하나요양원,노인의료복지시설,노인요양시설,인천광역시 서구 승학로197번길 20-9,37.5414405195,126.6715083631,29,개인,2015-08-04,032-433-3322,2024-08-01
14,참사랑요양원,노인의료복지시설,노인요양시설,인천광역시 서구 검단로 505,37.6033062100,126.6601901000,28,개인,2015-10-14,032-568-2011,2024-08-01
15,연희요양원,노인의료복지시설,노인요양시설,인천광역시 서구 탁옥로 88,37.5435035260,126.6792418176,63,개인,2015-11-04,032-562-4601,2024-08-01
16,지구촌요양원,노인의료복지시설,노인요양시설,인천광역시 서구 검단로 505,37.6033062100,126.6601901000,27,개인,2016-01-08,032-561-0961,2024-08-01
17,해피실버요양원,노인의료복지시설,노인요양시설,인천광역시 서구 검단로502번길 18,37.6014337400,126.6607088000,36,개인,2016-04-01,032-564-6327,2024-08-01
18,미래복지요양센터,노인의료복지시설,노인요양시설,인천광역시 서구 드림로 227,37.5840385166,126.6641632969,240,법인,2016-08-09,032-540-8800,2024-08-01
19,효담요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로 163,37.6017064731,126.6580875671,29,개인,2017-03-24,032-561-7477,2024-08-01
20,도란도란요양원,노인의료복지시설,노인요양시설,인천광역시 서구 검단로 531,37.6042556400,126.6627550000,29,개인,2017-06-01,032-569-3399,2024-08-01
21,반딧불노인요양원,노인의료복지시설,노인요양시설,인천광역시 서구 가정로 186-3,37.5013998851,126.6722656019,45,개인,2017-06-13,032-579-9540,2024-08-01
22,가현요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로 19,37.5948617800,126.6717380000,25,개인,2018-05-01,032-565-5567,2024-08-01
23,주은요양원,노인의료복지시설,노인요양시설,인천광역시 서구 신진말로 26,37.4929387400,126.6784919000,26,개인,2018-06-21,032-575-5720,2024-08-01
24,국제메디칼요양원,노인의료복지시설,노인요양시설,인천광역시 서구 탁옥로 104,37.5434517036,126.6810323743,45,개인,2018-07-01,032-567-6788,2024-08-01
25,두드림요양전문센터,노인의료복지시설,노인요양시설,인천광역시 서구 봉오재3로 116,37.5271215043,126.6726404686,29,개인,2019-02-22,032-568-3388,2024-08-01
26,검단희망요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로 159,37.6015395214,126.6584302107,28,개인,2019-06-01,032-564-3997,2024-08-01
27,꽃마루요양원,노인의료복지시설,노인요양시설,인천광역시 서구 봉화로223번안길 5,37.6125054690,126.6370766818,34,개인,2019-09-06,032-562-7272,2024-08-01
28,효사랑요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로 19,37.5948617800,126.6717380000,39,개인,2019-10-01,032-563-3400,2024-08-01
29,아름다운 요양원,노인의료복지시설,노인요양시설,인천광역시 서구 가정로 230,37.5052259220,126.6725013098,47,개인,2019-10-01,032-577-6000,2024-08-01
30,그레이스힐 요양원,노인의료복지시설,노인요양시설,인천광역시 서구 검단로623번길 17,37.6100733920,126.6687888816,49,개인,2019-10-07,070-4550-8920,2024-08-01
31,다온실버케어요양원,노인의료복지시설,노인요양시설,인천광역시 서구 고산후로 97,37.5924909479,126.6988859346,82,개인,2019-11-27,032-565-9923,2024-08-01
