연번 ,시설종류,시설명,도로명 주소,수용인원,위도,경도
1,노인주거복지시설,평복영락양로원,인천광역시 연수구 청량로 51,58,37.41353089,126.6598487
2,노인의료복지시설,모심과돌봄노인요양시설,"인천광역시 연수구 청명로 34 (청학동, 4층,5층,6층,7층)",84,37.4182133,126.6763943
3,노인의료복지시설,해오름요양원,인천광역시 연수구 예술로22번길 76 (선학동),106,37.43538123,126.702714
4,노인의료복지시설,간호나라2요양원,"인천광역시 연수구 청능대로 71, 7층 (청학동)",29,37.41582064,126.6743465
5,노인의료복지시설,개나리요양원,"인천광역시 연수구 청솔로 11, 2,3층 (청학동, 백화빌딩)",36,37.42782721,126.6611646
6,노인의료복지시설,송도요양원,인천광역시 연수구 청능대로 54 (동춘동),96,37.41662753,126.672378
7,노인의료복지시설,창덕궁그린케어요양원,인천광역시 연수구 예술로20번길 3 (선학동),65,37.43596115,126.6989073
8,노인의료복지시설,행복나눔요양원,"인천광역시 연수구 벚꽃로 106, 1201호 (청학동)",47,37.41762795,126.6772293
9,노인의료복지시설,효도마을연수지점,인천광역시 연수구 함박뫼로50번길 99 (연수동),18,37.41898209,126.6782674
10,노인의료복지시설,축복전문요양원,"인천광역시 연수구 용담로 115, 5층 (연수동)",17,37.41511159,126.6778157
11,노인의료복지시설,고은요양원(주),인천광역시 연수구 용담로85번길 12 (청학동),108,37.4169435,126.6756485
12,노인의료복지시설,소나무요양원,"인천광역시 연수구 비류대로 184, 6층 (옥련동)",45,37.42788428,126.6550738
13,노인의료복지시설,송도제일요양원,인천광역시 연수구 한나루로 74 (옥련동),84,37.42180781,126.6460766
14,노인의료복지시설,한가족간호재활요양원,"인천광역시 연수구 청능대로 71, 2층 (청학동)",25,37.41582064,126.6743465
15,노인의료복지시설,간호나라요양원,"인천광역시 연수구 청능대로 71, 8층 (청학동)",29,37.41582064,126.6743465
16,노인의료복지시설,청학숲요양원,인천광역시 연수구 청솔로 158 (청학동),25,37.43393477,126.6586492
17,노인의료복지시설,늘푸름요양원,"인천광역시 연수구 비류대로 184, 5층 (옥련동)",45,37.42788428,126.6550738
18,노인의료복지시설,연수인하요양원,인천광역시 연수구 학나래로118번길 30 (선학동),24,37.42707593,126.6979989
19,노인의료복지시설,필그림요양원,"인천광역시 연수구 먼우금로188번길 12, 503호 (연수동, 이리옴3빌딩)",37,37.41341196,126.6765013
20,노인의료복지시설,하늘소리너싱홈요양원,인천광역시 연수구 계림로58번길 27 (청학동),24,37.4271916,126.6663166
21,노인의료복지시설,실버벨요양원2,"인천광역시 연수구 비류대로 184, 4층 (옥련동)",45,37.42788428,126.6550738
22,노인의료복지시설,연수실버세상요양원,"인천광역시 연수구 벚꽃로 106, 1202호 (청학동)",28,37.41762795,126.6772293
23,노인의료복지시설,송도사랑요양원,"인천광역시 연수구 옥련로 147, 3층 (옥련동)",21,37.42564062,126.6558595
24,노인의료복지시설,선학요양원,인천광역시 연수구 예술로20번길 75 (선학동),89,37.43492154,126.7026993
25,노인의료복지시설,사랑숲요양원,인천광역시 연수구 청량로164번길 53 (옥련동),29,37.42254892,126.6549658
26,노인의료복지시설,평복영락요양원,인천광역시 연수구 청량로 51 (동춘동),60,37.41353089,126.6598487
27,노인의료복지시설,덕화노인요양원,인천광역시 연수구 청량로109번길 95 (동춘동),40,37.41499646,126.6540162
28,노인의료복지시설,실버벨요양원,"인천광역시 연수구 비류대로 170, 265-8동 (옥련동, 아리랑빌딩 4층)",29,37.4283162,126.6534391
29,노인의료복지시설,노인돌봄의집,인천광역시 연수구 청능말로7번길 1 (청학동),18,37.41762989,126.6685646
30,노인의료복지시설,송도VIP요양원,인천광역시 연수구 청량로155번길 70 (옥련동),29,37.42128233,126.6489782
31,노인의료복지시설,힘찬실버요양원,"인천광역시 연수구 벚꽃로 106, 1203호 (청학동)",28,37.41762795,126.6772293
32,노인의료복지시설,인천사할린동포복지회관,인천광역시 연수구 원인재로 263 (연수동),90,37.41827041,126.689622
33,노인의료복지시설,청량산요양원,"인천광역시 연수구 벚꽃로 106, 501호 (청학동)",9,37.41762795,126.6772293
34,노인의료복지시설,연수요양원,"인천광역시 연수구 먼우금로 197, 203호 (청학동, 이리옴2프라자)",9,37.41500307,126.6761684
35,노인의료복지시설,부모사랑요양원,"인천광역시 연수구 앵고개로 250, 6층 (동춘동)",9,37.40818407,126.6715103
36,노인의료복지시설,이삭요양원,"인천광역시 연수구 계림로 111, 101동 302호 (청학동,현대아파트)",9,37.42931162,126.6697477
37,노인의료복지시설,꿈꾸는 요양원,인천광역시 연수구 솔밭로 20 (동춘동),9,37.41462801,126.6541019
38,노인의료복지시설,가족사랑요양원,"인천광역시 연수구 청능대로 93, 3층 304호 (청학동)",9,37.41432174,126.675672
39,노인의료복지시설,(A+)송도요양원,"인천광역시 연수구 컨벤시아대로 69, 8층 (송도동)",9,37.3955594,126.6507045
40,노인여가복지시설,연수구노인복지관,인천광역시 연수구 함박뫼로 194,,37.42100841,126.6878911
41,노인여가복지시설,청학노인복지관,인천광역시 연수구 청학로12번길,,37.4276745,126.6659917
42,노인여가복지시설,송도노인복지관,인천광역시 연수구 송도교육로 61,,37.37161463,126.6598602
43,"재가노인복지시설(방문요양,방문목욕)",섬김과나눔재가복지센터,"인천광역시 연수구 먼우금로 69, 103호 (동춘동, 대동아파트 상가동)",,37.40636039,126.6687865
44,"재가노인복지시설(방문요양,방문목욕)",연수돌봄재가복지센터,"인천광역시 연수구 능허대로79번길 30, 제종합상가동동 215호 (옥련동, 럭키송도아파트)",,37.42486512,126.6416042
45,재가노인복지시설(주야간보호),예손주간보호센터,"인천광역시 연수구 함박뫼로50번길 99 (연수동, 상아빌딩 4층, 5층)",54,37.41898209,126.6782674
46,"재가노인복지시설(방문요양,방문목욕)",사계절재가복지센터,인천광역시 연수구 새말로35번길 14-2 (연수동),,37.42245891,126.6757435
47,"재가노인복지시설(방문요양,방문목욕)",은혜재가복지센터,"인천광역시 연수구 한나루로197번길 34, 202호 (옥련동)",,37.4276969,126.6552353
48,"재가노인복지시설(방문요양,방문목욕)",더효재가노인복지센터,"인천광역시 연수구 센트럴로 313, B동 1819호 (송도동, 송도 씨워크 인테라스 한라)",,37.40162836,126.6315196
49,재가노인복지시설(주야간보호),연수탑노인주간보호센터,"인천광역시 연수구 청능대로 103, 2,5층 203,502호 (연수동, BYC 연수사옥)",66,37.41364353,126.67626
50,"재가노인복지시설(방문요양,방문목욕,방문간호)",요기요양재가노인복지센터,"인천광역시 연수구 학나래로118번길 45, 501호 (선학동, 세진빌딩)",,37.42635909,126.6983615
51,재가노인복지시설(주야간보호),연수구한마음주간보호센터,"인천광역시 연수구 비류대로 202, 3층 301호 (옥련동, 영진프라자)",58,37.42754434,126.6568763
52,"재가노인복지시설(방문요양,방문목욕)",바른요양 재가센터,"인천광역시 연수구 먼우금로 299, 107호 (연수동, 태경아파트 상가)",,37.42263864,126.6821574
53,"재가노인복지시설(방문요양,방문목욕)",나누리방문요양기관,"인천광역시 연수구 용담로 111, 405호 (연수동, 아시스타워)",,37.41531526,126.6774959
54,"재가노인복지시설(방문요양,방문목욕,주야간보호)",엄마손실버케어 옥련센터,"인천광역시 연수구 비류대로144번길 30, 1층 (옥련동)",28,37.42795444,126.6501577
55,"재가노인복지시설(방문요양,방문목욕,주야간보호)",(+A)송도효드림복지센터,"인천광역시 연수구 컨벤시아대로 81, 510~513호 (송도동)",57,37.39494051,126.6501622
56,재가노인복지시설(방문요양),효섬김노인복지센터,"인천광역시 연수구 선학로 90, 3층 302호 (선학동, 아주대동상가)",,37.42547507,126.7015516
57,"재가노인복지시설(방문요양,방문목욕,주야간보호)",(주)엄마손실버케어 동춘센터,"인천광역시 연수구 동곡재로 50, 3층 (동춘동)",31,37.41451991,126.671647
58,"재가노인복지시설(방문요양,방문목욕)",예림방문요양센터,인천광역시 연수구 함박뫼로12번길 13-1 (청학동),,37.41848914,126.6720628
59,재가노인복지시설(주야간보호),해찬손주야간재가복지센터,"인천광역시 연수구 학나래로14번길 16-1, 5층 (선학동)",23,37.42446645,126.6975017
60,"재가노인복지시설(방문요양,방문목욕)",선우재가복지센터,"인천광역시 연수구 샘말로38번길 14, 204호 (연수동)",,37.41260658,126.6794186
61,재가노인복지시설(주야간보호),아들과딸 인천연수송도 주간보호센터,"인천광역시 연수구 한나루로 154, 1층 (옥련동, 송도 호성빌딩(실이용 3층))",63,37.42337681,126.6548719
62,재가노인복지시설(주야간보호),늘사랑주간보호센터,"인천광역시 연수구 벚꽃로 106, 205호 (청학동, 연수광장프라자)",44,37.41762795,126.6772293
63,"재가노인복지시설(방문요양,방문목욕,주야간보호)",청량산주야간보호센터,"인천광역시 연수구 벚꽃로 106, 5층 501호 (청학동, 연수광장프라자)",37,37.41762795,126.6772293
64,"재가노인복지시설(방문요양,방문목욕)",우성재가노인 복지센터,"인천광역시 연수구 새말로 20, 2층 203호 (연수동, 성일아파트 상가)",,37.42274826,126.6742245
65,"재가노인복지시설(방문요양,방문목욕)",엘림재가복지센터,"인천광역시 연수구 선학로 100, 3동 101호 (선학동, 금호타운)",,37.42676851,126.6995408
66,"재가노인복지시설(방문요양,방문목욕)",모아재가복지센터,"인천광역시 연수구 먼우금로 299, 202호 (연수동, 태경아파트)",,37.42263864,126.6821574
67,"재가노인복지시설(방문요양,방문목욕)",건강한 재가복지센터,"인천광역시 연수구 새말로45번길 20, 102호 (연수동)",,37.42193015,126.6768035
68,"재가노인복지시설(방문요양,방문목욕)",미소재가노인복지센터,"인천광역시 연수구 비류대로186번길 20, 2층 205-1호 (옥련동, 풍림아파트상가동)",,37.42704174,126.6546708
69,"재가노인복지시설(방문요양,방문목욕)",효재재가노인복지센터,"인천광역시 연수구 계림로112번길 17, 1층 1호 (청학동)",30,37.4268033,126.6694418
70,"재가노인복지시설(방문요양,방문목욕)",백세재가노인복지센터,"인천광역시 연수구 선학로 90, 207호 (선학동, 아주대동상가)",,37.42547507,126.7015516
71,"재가노인복지시설(방문요양,주야간보호)",연수효주간보호센터,"인천광역시 연수구 청능대로 75, 2층 (청학동)",42,37.41561597,126.6745761
72,"재가노인복지시설(방문요양,방문목욕)",마음정원재가노인복지센터,"인천광역시 연수구 선학로74번길 24, 4호 (선학동, 신성주택상가)",,37.42393549,126.7024819
73,재가노인복지시설(주야간보호),옥련뜰주야간보호센터,"인천광역시 연수구 한나루로 133, 2층 (옥련동, 박프라자)",40,37.42282025,126.6526788
74,재가노인복지시설(주야간보호),가족사랑주야간보호센터,"인천광역시 연수구 청능대로 93, 3층 304호 (청학동)",12,37.41432174,126.675672
75,"재가노인복지시설(주야간보호,주야간보호 내 치매전담 1실)",연수구립 치매전담형 주간보호센터-은빛사랑방,"인천광역시 연수구 예술로20번길 15, 1층 (선학동, 기억과마음 치매정신통합센터)",24,37.43578004,126.6996449
76,재가노인복지시설(방문요양),둥지재가복지센터,"인천광역시 연수구 청능대로113번길 43, 403호 (연수동)",,37.41423266,126.6781814
77,"재가노인복지시설(방문요양,주야간보호)",예손주간보호센터2호점,"인천광역시 연수구 청능대로 71, 6층 (청학동)",59,37.41582064,126.6743465
78,"재가노인복지시설(방문요양,방문목욕)",솔밭재가노인복지센터,"인천광역시 연수구 원인재로 232 (연수동, 솔밭마을상가)",,37.41524112,126.6894601
79,재가노인복지시설(방문요양),늘사랑재가요양센터,"인천광역시 연수구 새말로55번길 32, 201호 (연수동)",,37.4210169,126.67813
80,"재가노인복지시설(방문요양,방문목욕)",보듬애재가노인복지센터,인천광역시 연수구 동곡재로 190 (동춘동),,37.41271247,126.6647657
81,"재가노인복지시설(방문요양,방문목욕)",이레네재가복지센터,"인천광역시 연수구 학나래로5번길 3, 2층 201호 (선학동)",,37.42359906,126.6964661
82,"재가노인복지시설(방문요양,주야간보호)",연수제일주야간보호센터,"인천광역시 연수구 학나래로6번길 6, 6층 (선학동, 학나래로 6번길 3 6층 (연수병원))",31,37.42356701,126.6968281
83,"재가노인복지시설(방문요양,방문목욕)",유성재가복지센터,"인천광역시 연수구 경원대로467번길 38, 204호 (선학동)",,37.42643978,126.696688
84,"재가노인복지시설(방문요양,방문목욕)",우리재가방문요양센터,인천광역시 연수구 청학안로 20 (청학동),,37.43031139,126.6625214
85,"재가노인복지시설(방문요양,방문목욕)",송도센트럴 재가복지센터,"인천광역시 연수구 하모니로178번길 22, 상가A동 3층 316호 (송도동, GTX센트럴)",,37.38307519,126.6408333
86,"재가노인복지시설(방문요양,주야간보호)",소망재활주간보호센터,"인천광역시 연수구 먼우금로 189, 7층 712호 (청학동, 소망글로벌)",45,37.41462117,126.6758588
87,재가노인복지시설(방문요양),사랑의 재가복지센터,"인천광역시 연수구 원인재로 237, 204호 (연수동, 대우1차아파트)",,37.41756985,126.6873861
88,"재가노인복지시설(방문요양,방문목욕)",동행재가복지센터,"인천광역시 연수구 샘말로 105-5, 1층 (연수동)",,37.41548946,126.6809947
89,"재가노인복지시설(방문요양,방문목욕,주야간보호)",효나눔노인복지센터,"인천광역시 연수구 학나래로118번길 30, 3층 (선학동)",38,37.42707593,126.6979989
90,"재가노인복지시설(방문요양,방문목욕)",세움재가방문요양센터,"인천광역시 연수구 청량로199번길 29, 207호 (옥련동, 한국아파트)",,37.42376072,126.6498149
91,재가노인복지시설(방문요양),안뜰의봄방문요양센터,"인천광역시 연수구 송도미래로11번길 27, 제A동 11층 제A1112호 (송도동, 송도스마트스퀘어)",,37.37118852,126.649323
92,"재가노인복지시설(방문요양,방문목욕,주야간보호)",(A+)송도노인복지센터,"인천광역시 연수구 컨벤시아대로 69, 8층 (송도동, 송도밀레니엄)",55,37.3955594,126.6507045
93,"재가노인복지시설(방문요양,방문목욕)",스마일시니어 새봄누리 재가방문요양센터,"인천광역시 연수구 원인재로 56, 3층 306호 (동춘동, 현대아파트)",,37.40350251,126.6758736
94,재가노인복지시설(주야간보호),가나안 주간보호센터,"인천광역시 연수구 청능대로113번길 11, 8층 (연수동, 연수그린타워)",45,37.41316616,126.6770818
95,"재가노인복지시설(방문요양,방문목욕)",참소망재가요양센터,"인천광역시 연수구 선학로 101, 210호 (선학동, 뉴서울1차아파트상가)",,37.42560967,126.7006793
96,재가노인복지시설(주야간보호),연수노인주야간보호센터,"인천광역시 연수구 벚꽃로 120, 3층 (연수동, 선한빌딩)",43,37.41689487,126.6785526
97,재가노인복지시설(주야간보호),사랑숲주야간보호센터,인천광역시 연수구 청량로164번길 53 (옥련동),9,37.42254892,126.6549658
98,"재가노인복지시설(방문요양,방문목욕)",(주)실버케어플러스,"인천광역시 연수구 센트럴로 313, B동 1605호 (송도동, 송도씨워크인테라스한라)",,37.40162836,126.6315196
99,재가노인복지시설(방문요양),연수구재가노인복지센터,"인천광역시 연수구 함박뫼로 194 (연수동, 연수구노인복지관 본관)",,37.42100841,126.6878911
100,"재가노인복지시설(방문요양,방문목욕)",연수노인복지센터,"인천광역시 연수구 원인재로 212, 302호 (연수동, 연수1차시영아파트)",,37.41501214,126.6874985
101,경로당,대암마을경로당,인천광역시 연수구 대암로14번길 19 ,,37.41679908,126.6524816
102,경로당,백산1차아파트경로당,인천광역시 연수구 한나루로79번길 11,,37.42222065,126.6459336
103,경로당,백산2차아파트경로당,인천광역시 연수구 능허대로123번길 8,,37.42187596,126.6449457
104,경로당,벽산빌리지경로당,인천광역시 연수구 한나루로158번길 31,,37.42238787,126.656652
105,경로당,삼성아파트경로당,인천광역시 연수구 독배로40번길 18,,37.42422454,126.6462478
106,경로당,서해희망아파트경로당,인천광역시 연수구 청량로185번길 16,,37.42349988,126.652226
107,경로당,쌍용아파트경로당,인천광역시 연수구 청량로 210,,37.42507108,126.6533164
108,경로당,옥련경로당,인천광역시 연수구 한나루로157번길 12,,37.42420354,126.6546763
109,경로당,우성1차아파트경로당,인천광역시 연수구 독배로40번길 48,,37.42428612,126.6476928
110,경로당,우성2차아파트경로당,인천광역시 연수구 청량로185번길 73,,37.422769,126.6489741
111,경로당,청량경로당,인천광역시 연수구 한나루로180번길 23,,37.42483931,126.6575007
112,경로당,태평아파트경로당,인천광역시 연수구 한나루로193번길 16,,37.42644084,126.6557097
113,경로당,풍림아파트경로당,인천광역시 연수구 비류대로186번길 21,,37.42704174,126.6546708
114,경로당,한국아파트경로당,인천광역시 연수구 청량로199번길 29,,37.42376072,126.6498149
115,경로당,럭키아파트경로당,인천광역시 연수구 능허대로79번길 30,,37.42486512,126.6416042
116,경로당,아주아파트경로당,인천광역시 연수구 옥련로99번길 42,,37.42722464,126.6525322
117,경로당,양지경로당,인천광역시 연수구 옥련로99번길 61-8,,37.42777055,126.652206
118,경로당,옥골경로당,인천광역시 연수구 독배로90번길 42-6,,37.42802387,126.6475579
119,경로당,원흥아파트경로당,인천광역시 연수구 독배로 52,,37.42545323,126.6449603
120,경로당,현대1차아파트경로당,인천광역시 연수구 옥련로 33,,37.42820602,126.6437922
121,경로당,현대2차아파트경로당,인천광역시 연수구 독배로 58,,37.42639071,126.6465704
122,경로당,현대3차아파트경로당,인천광역시 연수구 능허대로79번길 65,,37.42620692,126.6438961
123,경로당,현대4차아파트경로당,인천광역시 연수구 한나루로105번길 68,,37.42579048,126.6508179
124,경로당,현대5차아파트경로당,인천광역시 연수구 한진로 49,,37.42690294,126.6472391
125,경로당,금호아파트경로당,인천광역시 연수구 선학로 100,,37.42602692,126.7009319
126,경로당,뉴서울아파트경로당,인천광역시 연수구 선학로 101,,37.42560967,126.7006793
127,경로당,대동아파트경로당,인천광역시 연수구 선학로74번길 17 ,,37.42429717,126.7017752
128,경로당,대진아파트경로당,인천광역시 연수구 선학로 37,,37.42132851,126.6981096
129,경로당,선학경로당,인천광역시 연수구 경원대로588번길 1,,37.43678571,126.6968704
130,경로당,선학시영아파트경로당,인천광역시 연수구 선학로 14,,37.41785323,126.6950857
131,경로당,선학아주아파트경로당,인천광역시 연수구 선학로 90,,37.42547507,126.7015516
132,경로당,선학희영무지개1차아파트경로당,인천광역시 연수구 넘말로29번길 45,,37.42798633,126.6955766
133,경로당,윤성아파트경로당,인천광역시 연수구 넘말로79번길 45,,37.43051261,126.695883
134,경로당,정광아파트경로당,인천광역시 연수구 선학로 37,,37.42132851,126.6981096
135,경로당,태산아파트경로당,인천광역시 연수구 선학로 37,,37.42132851,126.6981096
136,경로당,학나래경로당,인천광역시 연수구 학나래로14번길 3,,37.42416096,126.6967614
137,경로당,대명아파트경로당,인천광역시 연수구 함박뫼로 128,,37.42184603,126.680567
138,경로당,동남아파트경로당,인천광역시 연수구 새말로 21,,37.42371306,126.6742866
139,경로당,문남아파트경로당,인천광역시 연수구 함박뫼로 100,,37.42223471,126.6782555
140,경로당,성일아파트경로당,인천광역시 연수구 새말로 20,,37.42274826,126.6742245
141,경로당,연수경로당,인천광역시 연수구 함박뫼로84번길 29,,37.42205841,126.6769933
142,경로당,우주아파트경로당,인천광역시 연수구 함박뫼로 115,,37.42343683,126.679398
143,경로당,유천아파트경로당,인천광역시 연수구 먼우금로 302,,37.42346874,126.6830692
144,경로당,인향아파트경로당,인천광역시 연수구 함박뫼로 123,,37.42262789,126.6803838
145,경로당,태경아파트경로당,인천광역시 연수구 먼우금로 299,,37.42263864,126.6821574
146,경로당,태산아파트경로당,인천광역시 연수구 먼우금로 282,,37.42070048,126.6812649
147,경로당,함박마을경로당,인천광역시 연수구 함박안로62번길 73,,37.42603595,126.6830017
148,경로당,효정아파트경로당,인천광역시 연수구 새말로 6,,37.42399555,126.6713555
149,경로당,대동아파트경로당,인천광역시 연수구 벚꽃로 172,,37.41442181,126.6830242
150,경로당,샘말경로당,인천광역시 연수구 샘말로 68-5,,37.41403215,126.6803989
151,경로당,솔밭마을아파트경로당,인천광역시 연수구 원인재로 232,,37.41524112,126.6894601
152,경로당,연수1차승기마을아파트경로당,인천광역시 연수구 원인재로 212,,37.41501214,126.6874985
153,경로당,연수1차영구임대아파트경로당,인천광역시 연수구 원인재로 212,,37.41501214,126.6874985
154,경로당,연수1차일반분양아파트경로당,인천광역시 연수구 원인재로 212,,37.41501214,126.6874985
155,경로당,우성1차아파트경로당,인천광역시 연수구 청능대로 175,,37.4108235,126.6835502
156,경로당,우성2차아파트경로당,인천광역시 연수구 원인재로 180,,37.41227854,126.6839427
157,경로당,경남아파트경로당,인천광역시 연수구 원인재로 312,,37.42132377,126.6960423
158,경로당,대림아파트경로당,인천광역시 연수구 원인재로 300,,37.41944756,126.694222
159,경로당,대우1차아파트경로당,인천광역시 연수구 원인재로 237,,37.41756985,126.6873861
160,경로당,세경아파트경로당,인천광역시 연수구 새말로 134,,37.41630734,126.6824263
161,경로당,영남아파트경로당,인천광역시 연수구 새말로 111,,37.4190579,126.6834514
162,경로당,주공1차임대아파트경로당,인천광역시 연수구 원인재로 315,,37.42131182,126.6908796
163,경로당,주공2차아파트경로당,인천광역시 연수구 원인재로 315,,37.42131182,126.6908796
164,경로당,주공3차아파트경로당,인천광역시 연수구 새말로 154,,37.41565757,126.6847648
165,경로당,풍림1차아파트경로당,인천광역시 연수구 함박뫼로 250,,37.41790378,126.6915037
166,경로당,동남아파트경로당,인천광역시 연수구 청학로12번길 72,,37.42713809,126.6671649
167,경로당,동보아파트경로당,인천광역시 연수구 솔샘로 120,,37.42596404,126.6621355
168,경로당,삼용아파트경로당,인천광역시 연수구 솔샘로 20,,37.42376573,126.6677443
169,경로당,서해아파트경로당,인천광역시 연수구 미추홀대로251번길 9,,37.4213712,126.6671428
170,경로당,성호아파트경로당,인천광역시 연수구 솔샘로43번길 15,,37.42237319,126.6673058
171,경로당,시대아파트경로당,인천광역시 연수구 용담로 11,,37.42147466,126.6691293
172,경로당,용담마을아파트경로당,인천광역시 연수구 용담로 25,,37.42091524,126.6722685
173,경로당,청능마을경로당,인천광역시 연수구 청능말로22번길 10,,37.41698214,126.6678531
174,경로당,청담경로당,인천광역시 연수구 용담로 61,,37.41862143,126.6742181
175,경로당,청로경로당,인천광역시 연수구 청학로27번길 32-1,,37.42985164,126.6617048
176,경로당,청학경로당 ,인천광역시 연수구 계림로71-8(2층),,37.42865585,126.6675222
177,경로당,청학골경로당,인천광역시 연수구 솔샘로 101,,37.42539924,126.6631849
178,경로당,청학동 하나아파트경로당,인천광역시 연수구 용담로 14,,37.41930319,126.6683317
179,경로당,청학시영아파트경로당,인천광역시 연수구 비류대로294번길 16,,37.42546613,126.6659178
180,경로당,청학현대아파트경로당,인천광역시 연수구 계림로 111,,37.42934829,126.6698035
181,경로당,건영아파트경로당,인천광역시 연수구 먼우금로83번길 12,,37.40864753,126.6670517
182,경로당,농원경로당,인천광역시 연수구 동곡재로 156(동춘동) ,,37.41351163,126.6661184
183,경로당,대림3차아파트경로당,인천광역시 연수구 먼우금로83번길 49,,37.40765974,126.6665496
184,경로당,대우3차아파트경로당,인천광역시 연수구 동곡재로117번길 22,,37.41341714,126.6673288
185,경로당,동춘마을아파트경로당,인천광역시 연수구 먼우금로 123,,37.40993415,126.6708921
186,경로당,롯데아파트경로당,인천광역시 연수구 먼우금로161번길 12,,37.41319382,126.6739184
187,경로당,연수서해그랑블1단지아파트경로당,인천광역시 연수구 봉재산로 20,,37.4091842,126.6659014
188,경로당,태평1차아파트경로당,인천광역시 연수구 앵고개로206번길 10,,37.41087682,126.666583
189,경로당,태평2차아파트경로당,인천광역시 연수구 청능대로 38,,37.41682954,126.6703072
190,경로당,풍림3차아파트경로당,인천광역시 연수구 먼우금로 149,,37.41198531,126.6722114
191,경로당,하나아파트경로당,인천광역시 연수구 앵고개로205번길 41,,37.41328586,126.670076
192,경로당,송도파크자이아파트경로당,인천광역시 연수구 앵고개로 104번길 22,,37.41138649,126.6574695
193,경로당,동일하이빌아파트경로당,인천광역시 연수구 능허대로 343,,37.40670887,126.6573609
194,경로당,연수서해그랑블3단지아파트경로당,인천광역시 연수구 봉재산로 76,,37.4059796,126.6677766
195,경로당,대동아파트경로당,인천광역시 연수구 먼우금로69,,37.40636039,126.6687865
196,경로당,동남아파트경로당,인천광역시 연수구 먼우금로 19,,37.40072263,126.6674291
197,경로당,무지개마을아파트경로당,인천광역시 연수구 원인재로 14,,37.40128348,126.6700282
198,경로당,아주아파트경로당,인천광역시 연수구 먼우금로63번길 13,,37.40424312,126.6696032
199,경로당,풍림2차아파트경로당,인천광역시 연수구 경원대로119번길 21,,37.40029973,126.673095
