연번,지정일자,검진기관명,일반검진,위암,유방암,대장암,간암,자궁경부암,폐암,구강검진,영유아검진,주소,전화번호,데이터기준일자
1,2006-02-28,이재준내과의원,지정,지정,,지정,지정,,,,,인천광역시 중구 축항대로86번길 38 (항동7가),032-883-6347,2025-06-10
2,2009-04-27,신제일산부인과의원,,,,,,지정,,,,"인천광역시 중구 신도시남로 137 화평빌딩 4층 401,402호 (운서동) ",032-751-1119,2025-06-10
3,2010-02-05,우리들정형외과의원,지정,,,,,,,,,인천광역시 중구 북성동2가 12-32,032-772-1393,2025-06-10
4,2010-02-12,박선희치과의원,,,,,,,,지정,,인천광역시 중구 참외전로 134 2층 (인현동),032-762-6980,2025-06-10
5,2010-03-08,허형범치과의원,,,,,,,,지정,,인천광역시 중구 신포동 16번지 9통1반,032-765-2828,2025-06-10
6,2010-03-19,선치과의원,,,,,,,,지정,,인천광역시 중구 항동7가 76-2 롯데마트 3층,032-886-7528,2025-06-10
7,2010-04-22,이플란트치과의원,,,,,,,,지정,,인천광역시 중구 신도시남로 137 3층 (운서동) ,032-746-2804,2025-06-10
8,2010-05-12,신흥메디칼의원,,,,,,,,,,인천광역시 중구 신흥동3가 6-18,032-885-7582,2025-06-10
9,2010-05-12,이사랑치과의원,,,,,,,,지정,,인천광역시 중구 흰바위로 31 3층 (운서동),032-751-2875,2025-06-10
10,2010-05-12,서울외과의원,지정,,,,,,,,,인천광역시 중구 운남로 167 2-3층 (운남동),032-746-7582,2025-06-10
11,2012-02-15,신흥메디칼의원,지정,지정,,지정,,,,,,인천광역시 중구 도원로7번길 11 (신흥동3가),032-885-7582,2025-06-10
12,2012-04-23,주내과의원,지정,,,,,,,,,인천광역시 중구 흰바위로 31 2층 (운서동),032-751-7582,2025-06-10
13,2012-05-08,보스톤미에스테틱치과의원,,,,,,,,지정,,"인천광역시 중구 신도시남로141번길 5-8 304호 (운서동,천지인빌딩)",032-752-7528,2025-06-10
14,2012-05-11,더웰치과의원,,,,,,,,지정,,인천광역시 중구 인항로 34 3층 (신흥동3가),032-886-2875,2025-06-10
15,2012-07-24,아이본산부인과의원,,,,,,지정,,,,인천광역시 중구 참외전로 160-1 (경동),032-772-7474,2025-06-10
16,2012-10-15,연세참가정의학과의원,,,,,,,,,지정,인천광역시 중구 우현로 47 4층 (신포동),032-766-0075,2025-06-10
17,2013-02-18,온누리내과의원,지정,지정,지정,지정,지정,지정,,,지정,인천광역시 중구 신도시남로 137 2~3층 (운서동),032-747-0470,2025-06-10
18,2013-02-27,삼성내과의원,지정,지정,,지정,지정,,,,지정,인천광역시 중구 서해대로 476 우정빌딩 1층 (유동),032-762-1137,2025-06-10
19,2013-04-23,영종디지털치과의원,,,,,,,,지정,,인천광역시 중구 하늘별빛로 71 타임프라자 202~203호 (중산동),032-752-2879,2025-06-10
20,2013-09-25,늘푸른소아청소년과의원,,,,,,,,,지정,인천광역시 중구 하늘중앙로195번길 29 3층 (중산동),032-751-7553,2025-06-10
21,2014-04-09,연세소아청소년과의원,,,,,,,,,지정,"인천광역시 중구 하늘달빛로 113,201호(중산동)",032-752-2114,2025-06-10
22,2014-12-10,서울더(THE)좋은치과의원,,,,,,,,지정,,인천광역시 중구 하늘별빛로 59 4층 (중산동) ,032-746-9225,2025-06-10
23,2015-03-20,서울하늘치과의원,,,,,,,,지정,,인천광역시 중구 운남로 168 102호(운남동),032-764-2804,2025-06-10
24,2015-05-19,편안내과의원,지정,지정,,지정,지정,,,,,인천광역시 중구 하늘별빛로 71 4층 (중산동),032-747-2236,2025-06-10
25,2016-01-14,튼튼소아청소년과의원,,,,,,,,,지정,"인천광역시 중구 흰바위로 31 (운서동, 에어로시티 3층)",032-746-7588,2025-06-10
26,2017-03-27,하늘리더스치과의원,,,,,,,,지정,,인천광역시 중구 하늘중앙로 193 조양타워 5층 502호 (중산동),032-751-2840,2025-06-10
27,2018-06-21,하늘수치과의원,,,,,,,,지정,,인천광역시 중구 하늘중앙로195번길 29 3층 (중산동),032-752-2875,2025-06-10
28,2018-09-12,하늘도시산부인과의원,,,,,,지정,,,,"인천광역시 중구 하늘달빛로 94 스타타워 5층 509,510,511호 (중산동)",032-746-1236,2025-06-10
29,2019-05-30,상아플러스치과의원,,,,,,,,지정,,인천광역시 중구 우현로 75 3층 (인현동),032-772-2877,2025-06-10
