연번,시설유형,시설명,생활인수(명),시설소재지,전화번호,FAX번호,행정동,비고
1,노인일자리지원기관,노인인력개발센터,22,"인천광역시 계양구 장제로 799, 5층(계산동)",032-546-9662,032-546-9665,계산3동,
2,노인일자리지원기관,계양시니어클럽,24,"인천광역시 계양구 계양산로102번길 5, 사회복지회관 2층",032-555-6330,032-551-6330,계산2동,
3,노인여가복지시설,계양구 노인복지관,0,인천광역시 계양구 효서로341번길 11 (작전동 926-6) ,032-552-4494,032-547-4521,작전서운동,복지관
4,노인여가복지시설,효성노인문화센터,0,인천광역시 계양구 봉오대로 516(효성동 177-4),032-541-1882,032-541-1890,효성1동,문화센터
5,노인여가복지시설,계산노인문화센터,0,인천광역시 계양구 경명대로 980 (계산동 885-24),032-556-5611,032-556-5610,계산1동,문화센터
6,노인여가복지시설,동양노인문화센터,0,인천광역시 계양구 동양로 74-29(동양동 387-3),032-555-7766,032-553-4433,계양3동,문화센터
7,노인여가복지시설,효성영광노인대학,0,인천광역시 계양구 봉오대로 543번길 4 (효성동 147-3),032-547-0003,032-548-0332,효성1동,노인대학
8,노인여가복지시설,작전평생대학,0,인천광역시 계양구 주부토로 368(작전동 177),070-8255-8171,032-544-8909,작전1동,노인대학
9,노인여가복지시설,대한노인회계양구 지회노인대학,0,인천광역시 계양구 효서로341번길 11 (작전동 926-6),032-546-2923,032-541-2923,작전서운동,노인대학
10,노인여가복지시설,샛별대학,0,인천광역시 계양구 안남로490번길 11 (효성동 271-9),032-554-1741,032-547-7533,효성2동,노인대학
11,노인여가복지시설,노인행복지원센터,0,인천광역시 계양구 황어로134번길 28 (장기동 152-5),070-7834-1346,,계양1동,노인대학
12,노인여가복지시설,비전시니어대학,0,인천광역시 계양구 봉오대로 581(효성동 15-5),032-515-3201,032-518-9555,효성1동,노인대학
13,노인주거복지시설,나솔채양로원,21,인천광역시 계양구 솔고개길 19(박촌동 200-4),032-515-9120,032-556-9826,계양1동,
14,노인주거복지시설,노틀담사랑터,6,인천광역시 계양구 장제로920번길 27(병방동 158-3),032-541-6868,032-541-6861,계양2동,
15,노인의료복지시설,계양노인전문요양원,59,인천광역시 계양구 아나지로 517,032-552-9020,032-552-9072,작전서운동,
16,노인의료복지시설,참사랑소망의집,21,인천광역시 계양구 마장로 559번길 10,032-546-0576,032-549-9807,효성1동,
17,노인의료복지시설,우리복지요양원계양,102,"인천광역시 계양구 오조산로 57번길 11-1, 5, 8~10층",032-545-6222,032-545-6220,계산4동,
18,노인의료복지시설,아름다운요양원,20,"인천광역시 계양구 장제로755번길 32, 2층 ",032-555-5166,032-555-7166,계산3동,
19,노인의료복지시설,삼성요양원,24,"인천광역시 계양구 주부토로 525, 4층",032-542-6945,032-542-9628,계산1동,
20,노인의료복지시설,계양다사랑요양원,7,"인천광역시 계양구 계산로 148, 4층",032-555-8274,032-554-8279,계산3동,
