일련번호,관리번호,공원명,공원유형,시설명,소재지도로명주소,군구명,소재지지번주소,위도,경도,공원면적,주민운동시설,유희시설,편의시설,교양시설,기타시설,고시일,관리기관명,전화번호,X좌표,Y좌표,출처,비고
1,28170-00001,수봉공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 660-241,미추홀구,인천광역시 미추홀구 수봉북로 47,37.4600454,126.6641289,332694,"배드민턴장,농구장,궁도장,양궁장","조합놀이대,흔들놀이기구","도서관,매점,화장실",자연학습원,"현충탑,전망대,인공폭포",1944-01-08,인천광역시 미추홀구청,032-880-4504,170206.5857,540317.1644,인천광역시 미추홀구청,
2,28170-00002,석바위공원,근린공원,게이트볼장,인천광역시 미추홀구 주안동 1578,미추홀구,인천광역시 미추홀구 구월남로 38,37.453979,126.693932,47005,"게이트볼장,배드민턴장","조합놀이대,흔들놀이기구","도서관,노인정,화장실",,,1944-01-08,인천광역시 미추홀구청,032-880-4504,172916.3256,539407.031,인천광역시 미추홀구청,
3,28170-00002,석바위공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 1578,미추홀구,인천광역시 미추홀구 구월남로 38,37.453979,126.693932,47005,"게이트볼장,배드민턴장","조합놀이대,흔들놀이기구","도서관,노인정,화장실",,,1944-01-08,인천광역시 미추홀구청,032-880-4504,172954.8935,539416.2348,인천광역시 미추홀구청,
4,28170-00003,미추홀공원,근린공원,게이트볼장,인천광역시 미추홀구 주안동 824,미추홀구,인천광역시 미추홀구 학익소로13번길 46,37.446177,126.670551,38950,"게이트볼장,배드민턴장","조합놀이대,흔들놀이기구","주차장,화장실",,분수대,1944-01-08,인천광역시 미추홀구청,032-880-4504,170851.4628,538411.8183,인천광역시 미추홀구청,
5,28170-00003,미추홀공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 824,미추홀구,인천광역시 미추홀구 학익소로13번길 46,37.446177,126.670551,38950,"게이트볼장,배드민턴장","조합놀이대,흔들놀이기구","주차장,화장실",,분수대,1944-01-08,인천광역시 미추홀구청,032-880-4504,170802.6647,538641.0829,인천광역시 미추홀구청,
6,28170-00008,용정공원,근린공원,배드민턴장,인천광역시 미추홀구 용현동 615-1,미추홀구,인천광역시 미추홀구 낙섬동로 68-26,37.449962,126.641642,29552,"배드민턴장,농구장",,화장실,야생초화원,인공폭포,2002-05-09,인천광역시 미추홀구청,032-880-4504,168342.2755,539083.5789,인천광역시 미추홀구청,
7,28170-00008,용정공원,근린공원,농구장,인천광역시 미추홀구 용현동 615-1,미추홀구,인천광역시 미추홀구 낙섬동로 68-26,37.449962,126.641642,29552,"배드민턴장,농구장",,화장실,야생초화원,인공폭포,2002-05-09,인천광역시 미추홀구청,032-880-4504,168338.4945,539129.5722,인천광역시 미추홀구청,
8,28170-00043,재넘이공원,어린이공원,농구장,인천광역시 미추홀구 학익동 336-5,미추홀구,인천광역시 미추홀구 학익동336-5,37.447261,126.660626,12069,농구장,"조합놀이대,흔들놀이기구,그네",,,,1944-01-08,인천광역시 미추홀구청,032-880-4504,169959.6439,538718.8041,인천광역시 미추홀구청,
9,28170-00064,도천공원,어린이공원,농구장,인천광역시 미추홀구 문학동 351-1,미추홀구,인천광역시 미추홀구 문학동351-1,37.438873,126.678271,1800,농구장,"조합놀이대,흔들놀이기구,그네",,,,1990-04-30,인천광역시 미추홀구청,032-880-4504,171514.6753,537779.4976,인천광역시 미추홀구청,
10,28170-00065,삼호공원,어린이공원,농구장,인천광역시 미추홀구 문학동 360,미추홀구,인천광역시 미추홀구 문학동360,37.437982,126.680301,3933,농구장,"조합놀이대,흔들놀이기구,그네",,,,1990-04-30,인천광역시 미추홀구청,032-880-4504,171693.1809,537652.996,인천광역시 미추홀구청,
