버스번호,노선아이디,순번,정류소 명,정류소 번호,상_하행
1000,165000145,1,경남아너스빌,42099,상행
1000,165000145,2,거북시장,42136,상행
1000,165000145,3,성민병원,42162,상행
1000,165000145,4,신현119안전센터,42596,상행
1000,165000145,5,신현쇼핑,42220,상행
1000,165000145,6,가정(루원시티)역,89075,상행
1000,165000145,7,부평IC(미정차),41640,상행
1000,165000145,8,부천IC진입(미정차),57049,상행
1000,165000145,9,신월IC(미정차),24040,상행
1000,165000145,10,선유고등학교,28018,상행
1000,165000145,11,합정역(가상),14098,상행
1000,165000145,12,합정역,23029,상행
1000,165000145,13,서교동,23037,상행
1000,165000145,14,홍대입구역(가상),14096,상행
1000,165000145,15,홍대입구역,23032,상행
1000,165000145,16,동교동삼거리,23033,상행
1000,165000145,17,신촌오거리.현대백화점,23034,상행
1000,165000145,18,신촌오거리.2호선신촌역,23035,상행
1000,165000145,19,이대역,23036,상행
1000,165000145,20,종근당.충정로역,11002,상행
1000,165000145,21,서울역,11013,상행
1000,165000145,22,충정로역2호선,22064,하행
1000,165000145,23,이대역,22015,하행
1000,165000145,24,신촌오거리.2호선신촌역,22014,하행
1000,165000145,25,신촌오거리.현대백화점,22013,하행
1000,165000145,26,동교동삼거리,22012,하행
1000,165000145,27,홍대입구역(가상),14097,하행
1000,165000145,28,홍대입구역,23031,하행
1000,165000145,29,서교동,23038,하행
1000,165000145,30,합정역(가상),14099,하행
1000,165000145,31,합정역(중),14012,하행
1000,165000145,32,선유고등학교,28017,하행
1000,165000145,33,신월IC(미정차),24041,하행
1000,165000145,34,부천IC출입(미정차),57050,하행
1000,165000145,35,부평IC(미정차),41641,하행
1000,165000145,36,가정(루원시티)역,89078,하행
1000,165000145,37,루원이편한세상하늘채(107동),42225,하행
1000,165000145,38,신현119안전센터,42600,하행
1000,165000145,39,성민병원,42159,하행
1000,165000145,40,거북시장,42132,하행
1000,165000145,41,경남아너스빌,42102,하행
1400,165000151,1,인천터미널,37215,상행
1400,165000151,2,길병원,39590,상행
1400,165000151,3,올리브백화점,39589,상행
1400,165000151,4,간석오거리,39460,상행
1400,165000151,5,부평삼거리,39489,상행
1400,165000151,6,현대아파트,40788,상행
1400,165000151,7,부원중학교,40789,상행
1400,165000151,8,부평역,40228,상행
