정류소 명,정류소 번호,정류소아이디,행정동 명,위도,경도
(구)주안2동치안센터,37302.0,163000302,주안2동,37.4570777,126.671236
(주)경동세라믹스,89146.0,168001146,오류왕길동,37.55918552,126.6169776
(주)경인양행앞,42096.0,168000096,가좌1동,37.49904538,126.6654136
(주)경인양행앞,42097.0,168000097,석남2동,37.49934246,126.6667891
(주)대한특수금속,39050.0,165000050,논현고잔동,37.40002943,126.6944906
(주)두남,39135.0,165000135,남촌도림동,37.41781861,126.7031061
(주)세모입구(린나이코리아),40893.0,166000893,십정1동,37.47294275,126.6849083
(주)세모입구(린나이코리아),37585.0,163000585,주안5동,37.47260274,126.6846847
(주)스킨이데아,89388.0,168001388,원찬동,37.50190268,126.6174734
(주)스킨이데아,89389.0,168001389,원창동,37.50172142,126.617495
(주)우리김치,39133.0,165000133,남촌도림동,37.415623,126.7074206
(주)우리김치,39134.0,165000134,남촌도림동,37.41593655,126.7071348
(주)창원,39030.0,165000030,논현고잔동,37.39415568,126.699019
(주)창원,39029.0,165000029,논현고잔동,37.3937235,126.6992605
(주)하나금속,39124.0,165000124,남촌도림동,37.41734021,126.6999463
17사단.다임메가타운,40895.0,166000895,일신동,37.48167546,126.7464808
17사단입구,40832.0,166000832,일신동,37.47727495,126.746603
2001아울렛,40162.0,166000162,산곡3동,37.49105704,126.7124092
2001아울렛,40154.0,166000154,산곡3동,37.49037963,126.7107737
2001아울렛,40159.0,166000159,부평3동,37.4907504,126.7120553
2001아울렛부평점,40158.0,166000158,산곡3동,37.49094852,126.7112677
2차풍림아이원,42584.0,168000584,검단1동,37.61320221,126.6606402
3단지,40736.0,166000736,산곡3동,37.48875895,126.7051474
3단지관리사무소,40107.0,166000107,산곡3동,37.4887427,126.705067
41번구종점,42174.0,168000174,신현원창동,37.51379628,126.6671947
510번차고지,36145.0,162000145,송현3동,37.49027779,126.6508695
540번종점,39470.0,165000470,만수3동,37.46464365,126.7272037
6공단사거리,37577.0,163000577,도화23동,37.47394984,126.6680982
6공단입구,37443.0,163000443,주안5동,37.46984547,126.6798502
6공단입구,37442.0,163000442,주안5동,37.46960348,126.6799835
88JC(미정차),25201.0,115000203,방화3동,37.58427015,126.8196637
88JC(미정차),25204.0,115000204,방화3동,37.58397214,126.8209823
8부두,35182.0,161000182,북성동,37.47727043,126.6146797
8부두,35181.0,161000181,북성동,37.47770853,126.6148029
BMX경기장,90459.0,169001459,송해면,37.75628489,126.4715002
