시설명,공원유형,시설분류,도로명 주소,행정구역,lat,lon
수봉공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 660-241,미추홀구,37.4600454,126.6641289
석바위공원,근린공원,게이트볼장,인천광역시 미추홀구 주안동 1578,미추홀구,37.453979,126.693932
석바위공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 1578,미추홀구,37.453979,126.693932
미추홀공원,근린공원,게이트볼장,인천광역시 미추홀구 주안동 824,미추홀구,37.446177,126.670551
미추홀공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 824,미추홀구,37.446177,126.670551
용정공원,근린공원,배드민턴장,인천광역시 미추홀구 용현동 615-1,미추홀구,37.449962,126.641642
용정공원,근린공원,농구장,인천광역시 미추홀구 용현동 615-1,미추홀구,37.449962,126.641642
재넘이공원,어린이공원,농구장,인천광역시 미추홀구 학익동 336-5,미추홀구,37.447261,126.660626
도천공원,어린이공원,농구장,인천광역시 미추홀구 문학동 351-1,미추홀구,37.438873,126.678271
삼호공원,어린이공원,농구장,인천광역시 미추홀구 문학동 360,미추홀구,37.437982,126.680301
도담어린이공원,어린이공원,농구장,인천광역시 미추홀구 용현동 604-1,미추홀구,37.4470025,126.6436748
수봉공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 660-241,미추홀구,37.4600454,126.6641289
수봉공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 660-241,미추홀구,37.4600454,126.6641289
석바위공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 1578,미추홀구,37.453979,126.693932
제2용정공원,근린공원,풋살장,인천광역시 미추홀구 용현동 294-5,미추홀구,37.450413,126.644408
화수13공원,어린이공원,야외운동기구,인천광역시 동구 송화로 42번길,동구,37.480399,126.633242
창영공원,어린이공원,야외운동기구,인천광역시 동구 우각로 26,동구,37.470735,126.639082
괭이부리소공원,소공원,야외운동기구,인천광역시 동구 화도진로 186,동구,37.485564,126.623328
화도진공원,근린공원,야외운동기구,인천광역시 동구 화도진로 114,동구,37.482105,126.6287902
돌산공원,어린이공원,농구장,인천광역시 동구 샛골로 230,동구,37.482371,126.642195
돌산공원,어린이공원,야외운동기구,인천광역시 동구 샛골로 230,동구,37.482371,126.642195
송현공원,근린공원,야외운동기구,인천광역시 동구 솔빛로 51,동구,37.477194,126.639101
수문통공원,어린이공원,야외운동기구,인천광역시 동구 송현로 50,동구,37.480109,126.6370402
만석공원,어린이공원,야외운동기구,인천광역시 동구 제물량로 341,동구,37.483217,126.619546
송현공원,근린공원,인라인스케이트장,인천광역시 동구 솔빛로 51,동구,37.477194,126.639101
송현공원,근린공원,족구장,인천광역시 동구 솔빛로 51,동구,37.477194,126.639101
송현공원,근린공원,다목적구장,인천광역시 동구 솔빛로 51,동구,37.477194,126.639101
