시설명,시설유형,도로명 주소,lat,lon,행정구역
강화군노인복지관,노인여가복지시설,인천광역시 강화군 강화읍 중앙로 17-16,37.74032126,126.4912085,강화군
강화군노인문화센터,노인여가복지시설,인천광역시 강화군 길상면 마니산로 36,37.6425401,126.4871851,강화군
신문리(대안) 경로당,노인여가복지시설,인천광역시 강화군 강화읍 강화대로419번길 5-1,37.74645011,126.4848778,강화군
"신문1,3,5리 경로당",노인여가복지시설,인천광역시 강화군 강화읍 청하동길9번길 8,37.74667566,126.4825827,강화군
"신문1,2,5리(부녀) 경로당",노인여가복지시설,인천광역시 강화군 강화읍 청하동길9번길 8,37.74667566,126.4825827,강화군
신문4리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 청하동길 60,37.74349296,126.4806237,강화군
신문5리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 향나무길22번길 10,37.74652263,126.4786276,강화군
관청1리 동문 경로당,노인여가복지시설,인천광역시 강화군 강화읍 관청길10번길 8,37.74897589,126.4889624,강화군
"관청1,2,3,4(견자산) 경로당",노인여가복지시설,인천광역시 강화군 강화읍 동문안길20번길 18,37.74739208,126.4887299,강화군
관청5리(중앙) 경로당,노인여가복지시설,인천광역시 강화군 강화읍 관청길65번길 9,37.74897373,126.4828076,강화군
"관청5,6,7리(부녀) 경로당",노인여가복지시설,인천광역시 강화군 강화읍 관청길65번길 9,37.74897373,126.4828076,강화군
관청6리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 관청길 84,37.75052427,126.4813301,강화군
관청7리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 향교길 31,37.75109818,126.4787762,강화군
국화1리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 국화길12번길 5,37.75183931,126.4692293,강화군
국화1리(서문) 경로당,노인여가복지시설,인천광역시 강화군 강화읍 고비고개로18번길 13,37.74839509,126.4750543,강화군
국화2리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 고비고개로 186,37.74161494,126.4591344,강화군
남산1리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 부조고개길 34,37.74137191,126.4863568,강화군
남산1리(선화) 경로당,노인여가복지시설,인천광역시 강화군 강화읍 부조고개길56번길 14,37.73964496,126.4840897,강화군
남산2리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 충렬사로 103-15,37.73108954,126.4795635,강화군
미래지향아파트 경로당,노인여가복지시설,인천광역시 강화군 강화읍 남문로 41,37.7411901,126.487394,강화군
"갑곳1,3,4 경로당",노인여가복지시설,인천광역시 강화군 강화읍 강화대로248번길 8,37.74123941,126.5024541,강화군
