,식당명,행정구역,도로명 주소,lat,lon,식당 설명,영업 시간,top_category,sub_category
0,편가네된장,강화군,인천광역시 강화군 화도면 가능포로89번길 11,37.64067737,126.4193839,강화 맛집. 편가네 된장. 4대째 내려오는 전통방식 그대로국내산 재료를 엄선해 화학첨가물 없이 손수 만드는 전통 보리 된장과 짜지 않고 깊은 맛을 내는 간장게장은 맛이 일품이다.,"평일 10:00-20:00 / 주말,공휴일 09:00-20:00",한식,밥류
1,카페힐로 서창,남동구,인천광역시 남동구 서창남로 69,37.42534711,126.7486904,"홈메이드 브런치 카페힐로는 주문과 동시에 신선하고 건강한 재료로 조리되어 제공되며, 직접 로스팅한 10일 이내의 원두 만을 사용한다.",09:00-20:00,디저트,카페/빵
2,장흥숯불장어,강화군,인천광역시 강화군 길상면 장흥로 11-8,37.61182413,126.5184229,장흥숯불장어는 30년의 전통과 따라올 수 없는 맛으로 많은 고객층을 확보하고 있는 집이다. <br>,11:00 ~ 22:00,한식,장어
3,바다앞농장,중구,인천광역시 중구 은하수로 10,37.49212806,126.5812705,바다 앞에 자리한 작은 농장 카페이다. 직접 고른 원두로 로스팅한 특별한 커피와 매일 직접 구운 디저트를 <br>아름다운 바다 풍경과 함께 즐길 수 있다. <br>,매일 10:00 - 21:00<br />,디저트,카페/빵
4,달다1078,부평구,인천광역시 부평구 경인로 1078,37.48628153,126.739534,"커피나 차(茶), 음료 및 디저트류와 함께 간단한 식사가 가능한 달다(daldha) 음식점이다.",10:00 ~ 22:00,디저트,카페/빵
5,동막돌솥촌,강화군,인천광역시 강화군 화도면 해안남로 1632,37.59636904,126.4421969,"동막해수욕장으로 가는 해안도로 옆에 위치한 동막돌솥촌 식당은 주황색 벽돌로 지어진 2층 주택의 외관을 가지고 있고, 식당 내부는 묵직한 원목 나무 탁자가 놓여 있다. 대추, 밤, 인삼, 은행 등이 골고루 담겨진 돌솥한정식은 열 서너 가지 밑반찬과 함께 제공된다.<br>",10:00 ~ 22:00 (전화문의),한식,밥류
6,아이케이라이트하우스(일광전구라이트하우스),중구,인천광역시 중구 참외전로174번길 8-1,37.47217577,126.6350772,"일광전구에서 운영하는 카페로 인천 개항로에 자리한다. 카페 건물은 원래 산부인과 건물이었다. 라이트하우스 간판 뒤로 원래 이름인 한산부인과 간판이 그대로 남아 있다. 폐업 후 10년 동안 방치되었던 건물과 사택, 감나무가 멋스러운 정원은 고스란히 감각적인 카페로 변신했다. 수술실 조명이나 입원실 문, 세월의 흔적이 고스란히 느껴지는 계단 등 곳곳에 옛 병원의 흔적들이 남아 있어 이를 찾아보는 재미도 쏠쏠하다. 1층에는 일광전구에서 사용했던 백열전구 만드는 기계를 전시해 두었다. 실제로 작동되는 기계라 더욱 특별한 볼거리를 제공한다. 기계 외에도 일광전구에서 생산되는 다양한 디자인의 조명을 감각적으로 설치해 오래된 건물임에도 빈티지한 매력과 화사한 분위기를 함께 즐길 수 있다.",11:00~21:00 (라스트오더 20:30),디저트,카페/빵
7,송도우리갈비,연수구,인천광역시 연수구 능허대로 208,37.41734352,126.6499718,"송도우리갈비는 인천 연수구 옥련동에 있다. 지역 주민들에게 가성비 소고기 음식점으로 유명한 이곳은 식당 바로 앞 대형 주차장이 마련되어 있어서 가족 모임, 회식 장소로도 적합하다. 음식점의 내부는 4인석 입식 테이블로 마련되어 있다. 이곳의 대표 메뉴는 소갈비살 1kg, 돼지갈비 1kg다. 밑반찬은 샐러드, 배추김치 등 6가지의 밑반찬이 제공된다. 그 외 메뉴는 生모듬, 양념모듬, 소부채살, 양념소갈비살, 양념소부채살, 수제돼지갈비, 돼지갈비, 소불고기전골, 소고기 대왕갈비탕, 소갈비살 정식 등 다양한 메뉴가 준비되어 있다. 내부에는 셀프 바가 마련되어 있어 추가 반찬을 셀프 바에서 자유롭게 이용할 수 있다. 식당 인근에는 골프장, 인천시립박물관, 인천상륙작전기념관 등 다양한 관광지가 있어 연계 관광을 즐길 수 있다.<br>※반려동물 동반 불가",매일 10:00~23:00,한식,고기
8,카츠오모이 청라점,서구,인천광역시 서구 청라커낼로 270,37.5325717,126.6449913,"카츠오모이 청라점은 국내산 쌀과 돼지고기를 사용하는 일본식 돈가스 전문점이다. 대표 메뉴인 등심+안심 돈가스는 씹을 때 육즙이 나오는 게 특징이며 소금, 후추, 유자 드레싱, 흑임자 드레싱 등 다양한 소스를 제공해 주어 돈가스의 느끼함을 줄여준다. 식당 좌석이 바 형식으로 되어 있으며 맞은편으로 오픈된 주방을 통해 음식이 조리되어 나오는 과정을 직접 볼 수 있다. 재료 소진 시 조기 마감되며 월요일은 휴무이다. 청라 2동 주민센터 맞은편 건물의 뒤편에 있다.",11:00~20:00 (라스트오더 19:30),한식,고기
9,꽃피는산골,남동구,인천광역시 남동구 수골로 34,37.410826,126.7165159,"인천시 남동구 논현동 한적한 곳에 위치한 꽃피는 산골은 비닐하우스를 개조한 식당으로 가성비 좋은 푸짐한 한정식 상차림을 제공한다. 벽에 걸린 민속 소품들과 차곡차곡 쌓인 장작들이 산골에 온 것 같은 느낌을 준다. 산골 정식은 오전 11시 30분부터 오후 3시까지 이용 가능한 점심 메뉴임에도 불구하고 대표 메뉴이다. 산골 정식은 돼지 직화 불고기, 낙지볶음, 도토리묵무침, 도토리전과 10여 가지의 제철 반찬이 곁들여지는 상차림이다. 그 외 도깨비살, 갈매기살, 꽃등심도 있다. 식사를 마치고 난 뒤 식당 주변에 조성된 울창한 숲길을 따라 산책을 하는 것도 추천할 만하다.",11:30~22:00,한식,밥류
